Company_CSR,avg_sentiment,sentiment_sq,e_score,s_score,g_score,total_score,post_count
boston scientific,0.1265950276575276,0.016026301027610174,3.16,18.0,11.83,32.98,1.0
boston scientific,0.1265950276575276,0.016026301027610174,2.83,12.86,10.32,26.02,1.0
extra space storage,0.1088495265805048,0.011848219436800022,3.81,4.28,5.86,13.94,1.0
archer daniels midland,,,16.38,14.2,5.9,36.36,
archer daniels midland,,,15.89,13.51,5.38,34.78,
archer daniels midland,,,15.91,13.49,4.85,34.25,
best buy,0.1766102236891752,0.0311911711115405,2.11,5.2,4.6,11.92,17.0
apple inc.,0.1014268582156227,0.01028740756749203,0.55,13.58,10.47,24.32,15.0
apple inc.,0.1014268582156227,0.01028740756749203,0.18,7.69,8.86,16.72,15.0
apple inc.,0.1014268582156227,0.01028740756749203,0.65,6.86,8.95,16.45,15.0
apple inc.,0.1014268582156227,0.01028740756749203,0.46,7.39,9.37,17.22,15.0
arch capital group,,,1.9,10.12,13.95,25.98,
arch capital group,,,2.02,10.58,13.62,26.22,
arch capital group,,,2.01,7.78,13.17,22.96,
adobe inc.,0.0938789308263286,0.00881325365309459,0.47,7.97,5.23,13.87,6.0
adobe inc.,0.0938789308263286,0.00881325365309459,0.45,8.06,5.05,13.54,6.0
adobe inc.,0.0938789308263286,0.00881325365309459,0.48,5.65,4.74,10.88,6.0
adobe inc.,0.0938789308263286,0.00881325365309459,1.42,5.84,4.64,11.9,6.0
autodesk,0.0866131209648255,0.0075018327232674945,1.27,12.97,5.63,19.73,5.0
autodesk,0.0866131209648255,0.0075018327232674945,1.28,12.77,5.46,19.52,5.0
autodesk,0.0866131209648255,0.0075018327232674945,1.37,9.22,4.78,15.36,5.0
autodesk,0.0866131209648255,0.0075018327232674945,2.73,8.53,4.6,15.86,5.0
akamai technologies,0.0385078219013236,0.0014828523475840572,1.91,11.8,7.34,21.05,1.0
akamai technologies,0.0385078219013236,0.0014828523475840572,1.98,11.51,7.62,21.11,1.0
akamai technologies,0.0385078219013236,0.0014828523475840572,1.93,10.35,7.45,19.73,1.0
akamai technologies,0.0385078219013236,0.0014828523475840572,2.96,7.0,6.82,16.78,1.0
amgen,0.0991836474064527,0.009837395912847532,0.03,16.38,7.07,23.41,2.0
amgen,0.0991836474064527,0.009837395912847532,0.03,14.73,6.76,21.51,2.0
amgen,0.0991836474064527,0.009837395912847532,0.03,13.18,6.5,19.71,2.0
amazon,0.1190624029142319,0.014175855787710896,6.66,15.55,11.0,33.69,52.0
amazon,0.1190624029142319,0.014175855787710896,5.74,13.46,10.8,30.0,52.0
amazon,0.1190624029142319,0.014175855787710896,5.44,12.93,9.73,28.09,52.0
amazon,0.1190624029142319,0.014175855787710896,5.71,14.62,9.86,30.18,52.0
nasdaq,0.0820548095971824,0.006732991778029856,0.75,9.96,5.22,15.93,1.0
nasdaq,0.0820548095971824,0.006732991778029856,0.94,9.46,4.99,15.4,1.0
nasdaq,0.0820548095971824,0.006732991778029856,1.13,8.96,4.88,14.98,1.0
nasdaq,0.0820548095971824,0.006732991778029856,0.86,7.32,4.93,13.12,1.0
apa corporation,,,21.98,8.88,7.96,38.81,
broadcom,0.1056208885410007,0.011155772096190493,8.99,8.39,8.71,26.09,13.0
broadcom,0.1056208885410007,0.011155772096190493,8.96,8.66,7.9,25.52,13.0
biogen,0.1316203405697679,0.01732391405170169,0.04,14.99,8.49,23.52,10.0
biogen,0.1316203405697679,0.01732391405170169,0.03,15.3,8.03,23.36,10.0
biogen,0.1316203405697679,0.01732391405170169,0.02,14.65,7.54,22.2,10.0
biogen,0.1316203405697679,0.01732391405170169,0.02,13.07,7.82,20.91,10.0
booking holdings,0.0707003800905373,0.0049985437449464425,4.37,9.5,6.23,20.31,4.0
booking holdings,0.0707003800905373,0.0049985437449464425,3.88,9.4,6.15,19.43,4.0
booking holdings,0.0707003800905373,0.0049985437449464425,3.88,9.68,6.31,19.87,4.0
cboe global markets,,,2.97,9.24,9.43,21.64,
cboe global markets,,,2.57,7.19,8.98,18.69,
cboe global markets,,,2.85,7.43,9.19,19.47,
cadence design systems,,,1.37,10.9,5.97,18.72,
cadence design systems,,,1.16,10.51,5.51,17.18,
cadence design systems,,,1.14,9.85,5.27,16.26,
c.h. robinson,0.1413083820730097,0.019968058844091686,6.51,12.91,6.55,26.0,2.0
c.h. robinson,0.1413083820730097,0.019968058844091686,6.44,13.0,6.45,25.89,2.0
c.h. robinson,0.1413083820730097,0.019968058844091686,5.83,12.36,6.28,24.48,2.0
c.h. robinson,0.1413083820730097,0.019968058844091686,4.89,9.42,5.63,19.94,2.0
cincinnati financial,,,1.71,9.14,15.89,26.7,
cincinnati financial,,,1.71,9.42,15.3,26.42,
cincinnati financial,,,1.78,9.11,14.53,25.41,
cincinnati financial,,,1.83,9.42,13.47,24.72,
comcast,0.1022459082832298,0.01045422576066264,1.22,9.3,8.93,19.43,16.0
comcast,0.1022459082832298,0.01045422576066264,1.22,9.3,9.09,19.61,16.0
comcast,0.1022459082832298,0.01045422576066264,1.89,9.86,8.77,20.51,16.0
comcast,0.1022459082832298,0.01045422576066264,4.56,12.11,8.07,24.74,16.0
cme group,0.1051791851770478,0.011062660994507712,2.79,7.46,6.79,17.03,7.0
cme group,0.1051791851770478,0.011062660994507712,2.68,7.32,6.47,16.46,7.0
cme group,0.1051791851770478,0.011062660994507712,1.95,6.55,6.05,14.56,7.0
cme group,0.1051791851770478,0.011062660994507712,2.13,6.21,6.24,14.59,7.0
copart,,,2.45,11.3,5.92,19.67,
cisco,0.1405102565786136,0.019743132203787827,0.6,6.58,6.85,14.08,19.0
cisco,0.1405102565786136,0.019743132203787827,0.57,6.18,6.27,13.02,19.0
cisco,0.1405102565786136,0.019743132203787827,0.44,5.84,6.07,12.35,19.0
costar group,,,5.42,13.12,8.12,26.65,
costar group,,,5.16,11.23,8.04,24.42,
csx corporation,,,7.04,12.36,3.19,22.57,
csx corporation,,,6.64,12.37,3.49,22.5,
csx corporation,,,5.49,9.3,3.61,18.41,
csx corporation,,,7.45,9.19,3.55,20.2,
cintas,0.061237765683442,0.003750063945900146,5.48,12.45,7.48,25.41,1.0
cintas,0.061237765683442,0.003750063945900146,5.09,11.31,7.3,23.7,1.0
cintas,0.061237765683442,0.003750063945900146,4.1,9.46,6.99,20.54,1.0
cognizant,0.1819806971656461,0.033116974140894595,1.03,11.23,8.17,20.42,3.0
cognizant,0.1819806971656461,0.033116974140894595,1.06,12.22,7.44,20.71,3.0
cognizant,0.1819806971656461,0.033116974140894595,1.11,9.5,5.74,16.35,3.0
dollar tree,0.0448028346328784,0.0020072939911410484,3.86,9.85,5.87,19.57,2.0
dollar tree,0.0448028346328784,0.0020072939911410484,3.4,8.54,5.82,17.76,2.0
dollar tree,0.0448028346328784,0.0020072939911410484,3.4,7.41,4.27,15.08,2.0
dollar tree,0.0448028346328784,0.0020072939911410484,3.34,10.09,4.04,17.47,2.0
dexcom,0.13379476773658,0.01790103987368539,6.46,22.43,12.99,41.91,2.0
dexcom,0.13379476773658,0.01790103987368539,6.2,17.79,10.64,34.64,2.0
dexcom,0.13379476773658,0.01790103987368539,5.93,13.04,8.23,27.21,2.0
dexcom,0.13379476773658,0.01790103987368539,5.57,11.43,8.28,25.28,2.0
ebay inc.,0.103135228932282,0.010636875446914218,1.69,11.13,7.32,20.17,4.0
ebay inc.,0.103135228932282,0.010636875446914218,1.69,11.41,7.72,20.81,4.0
ebay inc.,0.103135228932282,0.010636875446914218,1.34,10.79,7.54,19.67,4.0
ebay inc.,0.103135228932282,0.010636875446914218,0.93,9.33,6.71,16.98,4.0
equinix,0.1372790885667391,0.018845548157714595,4.96,5.26,4.9,15.5,4.0
equinix,0.1372790885667391,0.018845548157714595,5.42,5.24,5.49,16.16,4.0
equinix,0.1372790885667391,0.018845548157714595,4.52,5.48,5.49,15.5,4.0
expeditors international,,,4.07,9.2,5.14,18.68,
expeditors international,,,4.01,9.9,5.03,18.94,
expeditors international,,,4.05,9.23,4.84,18.13,
expeditors international,,,3.83,7.31,4.96,16.1,
fastenal,0.1292353000285878,0.016701762773479106,10.69,8.66,7.05,26.4,4.0
"f5, inc.",,,1.21,11.87,5.34,18.42,
"f5, inc.",,,1.26,12.49,5.47,19.23,
fifth third bancorp,,,2.23,13.03,11.34,26.6,
fifth third bancorp,,,2.22,12.98,11.02,26.22,
fifth third bancorp,,,2.02,12.22,10.22,24.46,
fifth third bancorp,,,1.39,8.2,9.15,18.73,
fortinet,0.0822073970468648,0.006758056129220876,1.33,13.57,6.17,21.07,10.0
fortinet,0.0822073970468648,0.006758056129220876,1.23,12.19,5.75,19.17,10.0
garmin,0.1173007582112691,0.013759467876938616,4.93,9.16,5.98,20.0,5.0
garmin,0.1173007582112691,0.013759467876938616,5.52,9.66,5.68,20.86,5.0
garmin,0.1173007582112691,0.013759467876938616,5.87,8.84,4.79,19.5,5.0
hologic,,,4.63,19.88,10.84,35.38,
hologic,,,4.58,17.32,11.61,33.5,
hologic,,,4.45,14.28,11.78,30.51,
henry schein,0.1622636512517465,0.02632949251754841,3.52,4.97,6.0,14.36,1.0
henry schein,0.1622636512517465,0.02632949251754841,3.65,5.68,5.68,15.01,1.0
henry schein,0.1622636512517465,0.02632949251754841,3.19,5.66,5.64,14.5,1.0
henry schein,0.1622636512517465,0.02632949251754841,2.14,5.59,5.76,13.48,1.0
idexx laboratories,0.1161502782931354,0.013490887147572801,5.43,18.37,11.57,35.44,1.0
idexx laboratories,0.1161502782931354,0.013490887147572801,5.43,11.82,12.3,29.56,1.0
idexx laboratories,0.1161502782931354,0.013490887147572801,4.7,9.11,11.45,25.27,1.0
idexx laboratories,0.1161502782931354,0.013490887147572801,3.6,7.12,9.96,20.69,1.0
nasdaq,0.0820548095971824,0.006732991778029856,1.3,4.95,6.87,13.12,1.0
nasdaq,0.0820548095971824,0.006732991778029856,1.22,3.6,6.42,11.24,1.0
nasdaq,0.0820548095971824,0.006732991778029856,1.19,3.73,6.29,11.21,1.0
incyte,,,0.11,18.26,7.64,26.01,
incyte,,,1.0,16.45,6.99,24.45,
intel,0.149101087978683,0.022231134436426964,4.91,5.01,6.93,16.84,27.0
intel,0.149101087978683,0.022231134436426964,4.33,5.14,6.57,16.05,27.0
intel,0.149101087978683,0.022231134436426964,3.84,6.03,6.48,16.36,27.0
intuit,0.1087640570170165,0.011829620098800816,1.08,10.9,5.69,17.58,31.0
intuit,0.1087640570170165,0.011829620098800816,1.12,10.83,5.67,17.62,31.0
intuit,0.1087640570170165,0.011829620098800816,1.11,9.98,5.62,16.7,31.0
intuitive surgical,0.1217709643189918,0.014828167751177174,5.23,16.27,11.12,32.62,6.0
intuitive surgical,0.1217709643189918,0.014828167751177174,4.97,14.08,10.77,29.82,6.0
intuitive surgical,0.1217709643189918,0.014828167751177174,4.57,11.17,10.03,25.76,6.0
intuitive surgical,0.1217709643189918,0.014828167751177174,3.65,9.58,7.84,21.07,6.0
j.b. hunt,0.1803030303030303,0.032509182736455464,6.32,8.44,6.25,21.02,1.0
j.b. hunt,0.1803030303030303,0.032509182736455464,4.14,5.63,5.37,15.14,1.0
j.b. hunt,0.1803030303030303,0.032509182736455464,3.0,6.01,5.32,14.32,1.0
jack henry & associates,,,0.18,11.52,7.2,18.89,
jack henry & associates,,,0.93,9.54,5.23,15.7,
nasdaq,0.0820548095971824,0.006732991778029856,0.39,8.35,7.75,16.2,1.0
nasdaq,0.0820548095971824,0.006732991778029856,0.38,9.27,6.52,16.17,1.0
nasdaq,0.0820548095971824,0.006732991778029856,1.66,8.35,6.77,16.79,1.0
kraft heinz,0.0923272322535684,0.00852431781560436,16.46,19.06,6.35,40.59,11.0
kraft heinz,0.0923272322535684,0.00852431781560436,11.94,14.12,6.27,32.32,11.0
kraft heinz,0.0923272322535684,0.00852431781560436,12.89,14.33,6.77,33.99,11.0
kraft heinz,0.0923272322535684,0.00852431781560436,13.95,14.4,6.71,35.06,11.0
kla corporation,,,6.31,7.51,6.46,20.44,
kla corporation,,,6.13,7.2,6.33,19.83,
kla corporation,,,6.47,6.9,6.16,19.54,
kla corporation,,,6.84,6.73,5.96,19.52,
lkq corporation,,,4.57,5.4,4.0,13.98,
lkq corporation,,,4.58,5.41,3.81,13.8,
lkq corporation,,,4.08,4.97,3.81,12.87,
lam research,0.0833242191293532,0.00694292549351647,4.18,5.65,6.49,16.31,9.0
lam research,0.0833242191293532,0.00694292549351647,4.52,5.81,6.44,16.76,9.0
lam research,0.0833242191293532,0.00694292549351647,4.94,5.05,5.56,15.56,9.0
lam research,0.0833242191293532,0.00694292549351647,4.7,4.15,5.22,14.07,9.0
lululemon athletica,0.0522817097831007,0.002733377177844367,1.12,6.41,6.07,13.6,6.0
microchip technology,0.1040785672004355,0.010832348150495568,17.12,9.74,8.52,35.3,13.0
microchip technology,0.1040785672004355,0.010832348150495568,16.04,9.44,8.64,34.12,13.0
microchip technology,0.1040785672004355,0.010832348150495568,15.07,9.32,8.64,33.03,13.0
mondelez international,0.0820866758740533,0.0067382223560518845,8.99,10.2,5.8,25.07,2.0
mondelez international,0.0820866758740533,0.0067382223560518845,9.67,10.8,5.72,26.18,2.0
mondelez international,0.0820866758740533,0.0067382223560518845,7.52,10.62,5.16,23.29,2.0
microsoft,0.1238999865491423,0.015351206666877644,0.45,9.71,5.23,15.45,43.0
microsoft,0.1238999865491423,0.015351206666877644,0.46,9.57,5.14,15.17,43.0
microsoft,0.1238999865491423,0.015351206666877644,0.46,9.11,4.85,14.42,43.0
microsoft,0.1238999865491423,0.015351206666877644,0.82,8.17,5.1,14.08,43.0
norwegian cruise line holdings,0.1092970722853535,0.011945850010149788,12.47,11.12,3.9,27.67,1.0
norwegian cruise line holdings,0.1092970722853535,0.011945850010149788,12.63,10.98,3.93,27.54,1.0
norwegian cruise line holdings,0.1092970722853535,0.011945850010149788,12.54,10.97,4.47,27.99,1.0
norwegian cruise line holdings,0.1092970722853535,0.011945850010149788,11.98,10.12,4.51,26.61,1.0
"nasdaq, inc.",0.0820548095971824,0.006732991778029856,2.38,7.95,7.84,18.15,1.0
"nasdaq, inc.",0.0820548095971824,0.006732991778029856,2.16,7.4,7.3,16.87,1.0
"nasdaq, inc.",0.0820548095971824,0.006732991778029856,1.59,6.3,6.41,14.3,1.0
"nasdaq, inc.",0.0820548095971824,0.006732991778029856,1.81,4.56,5.56,11.93,1.0
nordson corporation,,,9.55,13.34,5.65,28.53,
nordson corporation,,,9.45,12.51,5.6,27.56,
netapp,0.1149523492877725,0.01321404260677805,2.77,9.51,6.76,18.63,2.0
netapp,0.1149523492877725,0.01321404260677805,2.77,8.15,6.19,17.11,2.0
netapp,0.1149523492877725,0.01321404260677805,2.61,7.2,6.05,15.87,2.0
northern trust,0.1155024771524771,0.013340822228358496,2.54,13.74,11.39,27.78,1.0
northern trust,0.1155024771524771,0.013340822228358496,2.54,13.0,11.11,27.05,1.0
northern trust,0.1155024771524771,0.013340822228358496,2.24,12.34,10.83,25.41,1.0
nvidia,0.0809357898214313,0.006550602074018903,1.91,4.66,6.85,13.49,28.0
nvidia,0.0809357898214313,0.006550602074018903,2.12,4.26,6.64,13.02,28.0
nvidia,0.0809357898214313,0.006550602074018903,2.37,4.14,6.63,13.15,28.0
nvidia,0.0809357898214313,0.006550602074018903,2.44,4.46,6.1,13.0,28.0
nxp semiconductors,0.0962160460394982,0.009257527515474836,9.26,7.02,7.84,24.15,8.0
nxp semiconductors,0.0962160460394982,0.009257527515474836,9.02,6.97,7.37,23.36,8.0
nxp semiconductors,0.0962160460394982,0.009257527515474836,7.86,6.61,5.07,19.54,8.0
nxp semiconductors,0.0962160460394982,0.009257527515474836,8.51,7.13,5.39,21.02,8.0
paychex,0.0661100249349116,0.004370535396894633,0.15,10.92,6.91,18.78,3.0
paychex,0.0661100249349116,0.004370535396894633,0.11,9.2,6.84,16.16,3.0
paychex,0.0661100249349116,0.004370535396894633,0.32,9.32,6.6,16.25,3.0
paccar,,,8.31,14.87,9.1,32.28,
principal financial group,,,1.81,9.21,10.99,21.86,
principal financial group,,,1.94,8.55,11.9,22.39,
principal financial group,,,2.11,7.55,10.84,20.5,
ptc inc.,,,1.81,15.51,6.7,24.04,
ptc inc.,,,1.64,13.55,6.72,22.21,
ptc inc.,,,1.26,12.1,5.91,19.26,
paypal,0.1106087062350782,0.012234285894997825,0.09,11.64,7.87,19.52,20.0
paypal,0.1106087062350782,0.012234285894997825,0.09,11.4,7.21,18.69,20.0
paypal,0.1106087062350782,0.012234285894997825,0.22,10.8,6.44,17.45,20.0
qualcomm,0.1182782998504854,0.013989756215521332,1.93,6.44,10.73,18.91,20.0
qualcomm,0.1182782998504854,0.013989756215521332,3.51,6.16,10.31,19.97,20.0
qualcomm,0.1182782998504854,0.013989756215521332,6.37,3.49,9.18,19.04,20.0
qualcomm,0.1182782998504854,0.013989756215521332,5.45,4.29,7.81,17.55,20.0
nasdaq,0.0820548095971824,0.006732991778029856,19.64,9.0,7.69,36.33,1.0
nasdaq,0.0820548095971824,0.006732991778029856,15.96,8.91,7.23,32.1,1.0
nasdaq,0.0820548095971824,0.006732991778029856,14.11,8.64,7.41,30.15,1.0
nasdaq,0.0820548095971824,0.006732991778029856,12.72,8.5,7.58,28.8,1.0
regeneron pharmaceuticals,0.1195071119307198,0.014281949802021592,0.06,16.69,8.1,24.85,4.0
regeneron pharmaceuticals,0.1195071119307198,0.014281949802021592,0.03,15.28,7.98,23.3,4.0
regeneron pharmaceuticals,0.1195071119307198,0.014281949802021592,0.01,13.76,7.54,21.32,4.0
sba communications,,,2.46,8.39,7.36,18.11,
sba communications,,,2.36,7.76,7.2,17.32,
sba communications,,,2.78,7.05,6.44,16.27,
starbucks,0.1060442889607397,0.01124539122118886,3.15,12.99,5.11,21.23,30.0
starbucks,0.1060442889607397,0.01124539122118886,3.18,13.03,4.95,21.15,30.0
starbucks,0.1060442889607397,0.01124539122118886,2.87,13.53,4.57,20.98,30.0
starbucks,0.1060442889607397,0.01124539122118886,6.11,14.41,4.24,24.78,30.0
synopsys,0.1072026583498542,0.011492409957275563,1.18,13.05,5.81,19.85,8.0
synopsys,0.1072026583498542,0.011492409957275563,1.18,12.11,5.45,18.74,8.0
synopsys,0.1072026583498542,0.011492409957275563,1.1,9.07,4.3,14.46,8.0
synopsys,0.1072026583498542,0.011492409957275563,2.49,7.16,4.12,13.76,8.0
steel dynamics,0.1302900637426216,0.016975500710056397,15.5,13.09,7.33,35.96,3.0
steel dynamics,0.1302900637426216,0.016975500710056397,14.24,13.62,7.24,35.3,3.0
steel dynamics,0.1302900637426216,0.016975500710056397,13.41,14.22,6.74,34.37,3.0
seagate technology,0.1408075247722693,0.01982675903249323,1.61,8.11,5.84,15.55,3.0
